,country_region_code,country_region,sub_region_1,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
35702,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-15,2.0,3.0,20.0,5.0,1.0,-1.0
35703,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-16,16.0,13.0,44.0,5.0,-2.0,-2.0
35704,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-17,-26.0,-37.0,70.0,-40.0,-72.0,16.0
35705,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-18,-1.0,12.0,-5.0,2.0,0.0,1.0
35706,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-19,0.0,4.0,-4.0,-2.0,1.0,0.0
35707,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-20,4.0,4.0,3.0,0.0,2.0,0.0
35708,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-21,1.0,-3.0,11.0,-1.0,-7.0,1.0
35709,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-22,8.0,6.0,44.0,11.0,7.0,-2.0
35710,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-23,12.0,6.0,53.0,9.0,5.0,-1.0
35711,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-24,2.0,2.0,18.0,-2.0,2.0,0.0
35712,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-25,1.0,7.0,2.0,1.0,3.0,0.0
35713,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-26,-8.0,-5.0,-15.0,-6.0,-2.0,3.0
35714,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-27,-13.0,-12.0,-17.0,-5.0,-8.0,5.0
35715,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-28,-5.0,-4.0,-10.0,-1.0,-1.0,2.0
35716,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-02-29,5.0,6.0,9.0,6.0,8.0,-1.0
35717,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-01,11.0,10.0,23.0,4.0,6.0,-1.0
35718,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-02,2.0,4.0,0.0,-2.0,4.0,0.0
35719,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-03,1.0,3.0,-6.0,0.0,4.0,0.0
35720,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-04,4.0,4.0,1.0,0.0,4.0,0.0
35721,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-05,6.0,6.0,21.0,2.0,0.0,0.0
35722,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-06,-3.0,-4.0,-4.0,-3.0,3.0,1.0
35723,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-07,10.0,9.0,41.0,8.0,9.0,-1.0
35724,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-08,13.0,10.0,86.0,6.0,5.0,-1.0
35725,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-09,4.0,5.0,41.0,-3.0,3.0,1.0
35726,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-10,1.0,4.0,-2.0,-4.0,3.0,1.0
35727,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-11,3.0,7.0,1.0,-5.0,2.0,1.0
35728,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-12,6.0,32.0,9.0,-6.0,1.0,1.0
35729,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-13,-3.0,41.0,-7.0,-16.0,-4.0,3.0
35730,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-14,-10.0,26.0,5.0,-17.0,0.0,3.0
35731,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-15,-10.0,14.0,44.0,-22.0,-6.0,4.0
35732,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-16,-12.0,27.0,10.0,-39.0,-31.0,11.0
35733,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-17,-29.0,15.0,2.0,-46.0,-39.0,15.0
35734,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-18,-36.0,1.0,1.0,-51.0,-44.0,17.0
35735,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-19,-38.0,2.0,11.0,-54.0,-47.0,19.0
35736,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-20,-45.0,-8.0,-15.0,-56.0,-49.0,21.0
35737,CA,Canada,Ontario,CA-ON,ChIJrxNRX7IFzkwRCR5iKVZC-HA,2020-03-21,-48.0,-12.0,16.0,-49.0,-34.0,13.0
